Zé Felipe | Banheira de Espuma
Edson e Hudson | Quer Namorar Comigo?
Bonde da Stronda | Mansão Thug Stronda
Arnaldo Antunes | A casa é sua
Pato Fu | Made In Japan
Daya Luz | Te Dominar
Sandy e Junior | Baby, Liga Pra Mim
Chico Rey e Paraná | Alma Transparente
Roberta Miranda | Majestade, O Sabiá
Ana Carolina | Quem de Nós Dois
Soweto | Derê
Júlia & Rafaela | Antes da Primeira Esquina - Ao Vivo Em São Paulo / 2019
Tribalistas | Já Sei Namorar
Sandy e Junior | Quando Você Passa (Turu Turu)
MC Kekel | Deixa Rolar
Guilherme Arantes | Cheia de Charme
Eliane Elias | Running
Jota Quest | O Vento
Laura Souguellis | Em Teus Braços
Baco Exu do Blues | Sulicídio
Rael | O Hip Hop É Foda (Parte 2)
Tiago Iorc | Tua Caramassa
Geo | Big Poppa
Aline Barros | Ressuscita-me
Bruninho e Davi | Pra Sempre Minha Vida
Solange Almeida | Se É Pra Gente Ficar
Ana Nóbrega | Oceanos (Onde Meus Pés Podem Falhar) [Oceans Where Feet May Fail]
Ana Gabriela | Céu Azul
Luiz Bonfá | Perdido de Amor [Lost in Love]
Roupa Nova | Amor Sob Medida
Xuxa | Tumbalacatumba
MC Brinquedo | Roça Roça 3
Fafa de Belem | Abandonada
Thalles | Utopia
Nossa Toca | Freedom
Zizi Possi | Faltavam Seus Olhos
Raça Negra | Cheia de Manias
Thaeme & Thiago | Eu Te Esperarei (Yo Te Esperaré)
Perícles | Eu Te Uso e Sumo
